SITE CODE= 41329éÖãõêÏésàÍÇÃã{          ,37.4962,137.2705, 15.86,7.6,45292.6738723, 12.58, 21.45
 LAT.=   37.0388
 LON.=  137.8633
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 10
 NS,EW,UD
-0.004,-0.001,-0.018
-0.003,0.022,-0.018
0.006,0.021,-0.009
0.014,0.002,0.003
0.008,-0.013,0.006
-0.008,-0.007,-0.003
-0.016,0.011,-0.013
-0.007,0.021,-0.011
0.010,0.016,0.001
0.017,0.007,0.012
0.009,0.005,0.012
-0.004,0.011,0.005
-0.010,0.016,-0.000
-0.007,0.012,-0.000
-0.007,0.004,-0.002
-0.013,0.000,-0.013
-0.017,0.001,-0.027
-0.009,0.005,-0.027
0.006,0.008,-0.010
0.012,0.011,0.013
-0.001,0.014,0.019
-0.023,0.016,0.004
-0.034,0.012,-0.018
-0.024,0.005,-0.023
-0.008,0.004,-0.011
-0.007,0.008,0.000
-0.024,0.012,-0.005
-0.038,0.005,-0.020
-0.032,-0.011,-0.026
-0.011,-0.015,-0.016
0.002,0.004,-0.001
-0.002,0.035,0.000
-0.010,0.047,-0.010
-0.008,0.025,-0.016
0.002,-0.009,-0.004
0.003,-0.021,0.014
-0.013,0.001,0.016
-0.030,0.025,-0.004
-0.027,0.018,-0.030
-0.004,-0.019,-0.040
0.019,-0.046,-0.027
0.021,-0.033,-0.001
0.004,0.007,0.023
-0.012,0.035,0.037
-0.015,0.030,0.036
-0.014,0.010,0.017
-0.018,0.003,-0.013
-0.023,0.011,-0.038
-0.019,0.012,-0.042
-0.004,-0.003,-0.023
0.004,-0.021,0.001
-0.008,-0.020,0.011
-0.030,0.001,0.006
-0.037,0.020,0.001
-0.021,0.020,0.004
0.005,0.012,0.011
0.014,0.013,0.011
-0.002,0.022,0.004
-0.024,0.022,-0.002
-0.033,0.010,-0.003
-0.024,-0.001,-0.005
-0.011,0.004,-0.010
-0.004,0.016,-0.014
-0.007,0.014,-0.007
-0.015,-0.004,0.012
-0.023,-0.017,0.028
-0.029,-0.003,0.027
-0.029,0.033,0.014
-0.020,0.060,0.004
-0.007,0.055,0.005
0.002,0.023,0.009
0.000,-0.005,0.006
-0.009,-0.011,-0.004
-0.018,0.001,-0.008
-0.023,0.016,0.000
-0.023,0.021,0.012
-0.019,0.014,0.017
-0.011,0.005,0.014
-0.001,0.004,0.014
0.004,0.012,0.021
-0.006,0.025,0.025
-0.024,0.027,0.016
-0.032,0.012,-0.006
-0.023,-0.008,-0.022
-0.005,-0.014,-0.018
-0.001,0.003,0.002
-0.013,0.023,0.020
-0.028,0.025,0.025
-0.032,0.005,0.017
-0.024,-0.015,0.007
-0.016,-0.018,0.006
-0.011,-0.011,0.012
-0.003,-0.014,0.025
0.007,-0.026,0.036
0.001,-0.025,0.035
-0.027,0.002,0.016
-0.057,0.033,-0.016
-0.054,0.032,-0.037
-0.012,-0.005,-0.025
0.030,-0.041,0.011
0.030,-0.037,0.039
-0.013,-0.001,0.035
-0.053,0.025,0.009
-0.050,0.014,-0.011
-0.012,-0.011,-0.009
0.016,-0.010,0.004
0.009,0.021,0.012
-0.011,0.038,0.011
-0.013,0.011,0.012
0.003,-0.037,0.017
0.009,-0.050,0.013
-0.004,-0.012,-0.002
-0.019,0.034,-0.014
-0.011,0.037,-0.009
0.012,-0.002,0.007
0.022,-0.032,0.009
0.008,-0.018,-0.007
-0.011,0.022,-0.020
-0.012,0.038,-0.009
0.004,0.012,0.019
0.013,-0.031,0.030
0.009,-0.054,0.014
0.003,-0.043,-0.007
0.007,-0.011,-0.004
0.012,0.027,0.018
0.005,0.052,0.028
-0.011,0.045,0.005
-0.013,0.000,-0.030
0.007,-0.055,-0.040
0.025,-0.073,-0.016
0.015,-0.029,0.014
-0.013,0.037,0.020
-0.024,0.062,0.002
0.002,0.027,-0.014
0.036,-0.025,-0.011
0.035,-0.033,-0.000
-0.003,0.003,-0.000
-0.033,0.032,-0.011
-0.021,0.016,-0.014
0.017,-0.020,-0.002
0.032,-0.025,0.012
0.005,0.011,0.006
-0.029,0.041,-0.018
-0.026,0.025,-0.036
0.012,-0.019,-0.028
0.041,-0.037,0.004
0.032,-0.008,0.038
-0.002,0.034,0.047
-0.023,0.041,0.020
-0.016,0.006,-0.029
0.004,-0.033,-0.071
0.019,-0.040,-0.073
0.025,-0.016,-0.025
0.023,0.010,0.038
0.012,0.020,0.065
-0.005,0.012,0.034
-0.017,-0.001,-0.023
-0.010,-0.014,-0.051
0.013,-0.020,-0.031
0.029,-0.017,0.008
0.024,-0.007,0.024
0.007,0.003,0.007
-0.004,0.004,-0.021
-0.001,-0.001,-0.037
0.007,-0.005,-0.035
0.014,-0.010,-0.021
0.020,-0.021,0.004
0.026,-0.034,0.032
0.022,-0.026,0.048
0.004,0.010,0.037
-0.012,0.048,0.003
-0.004,0.045,-0.030
0.025,-0.006,-0.038
0.047,-0.059,-0.024
0.032,-0.059,-0.007
-0.005,-0.011,0.003
-0.026,0.026,0.008
-0.005,0.011,0.011
0.031,-0.027,0.000
0.043,-0.032,-0.026
0.022,0.004,-0.048
-0.002,0.029,-0.037
0.004,-0.002,0.006
0.029,-0.059,0.045
0.038,-0.073,0.041
0.017,-0.025,0.002
-0.005,0.030,-0.030
0.002,0.029,-0.023
0.032,-0.020,0.009
0.046,-0.054,0.024
0.024,-0.037,0.005
-0.010,-0.001,-0.024
-0.016,0.004,-0.030
0.012,-0.027,-0.016
0.045,-0.054,-0.004
0.050,-0.048,-0.005
0.032,-0.025,-0.003
0.011,-0.011,0.015
-0.002,-0.006,0.031
-0.009,0.002,0.017
-0.009,0.009,-0.021
0.009,-0.009,-0.042
0.038,-0.052,-0.018
0.049,-0.077,0.031
0.023,-0.048,0.052
-0.020,0.015,0.022
-0.035,0.046,-0.023
-0.003,0.014,-0.036
0.040,-0.037,-0.009
0.045,-0.044,0.024
0.007,-0.003,0.027
