SITE CODE= 47254è„âzésíÜÉmñì            ,37.4962,137.2705, 15.86,7.6,45292.6738723, 15.25, 26.04
 LAT.=   37.1063
 LON.=  138.1601
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 09 10
 NS,EW,UD
0.151,0.228,-0.024
0.139,0.274,0.007
0.126,0.323,0.039
0.115,0.369,0.067
0.108,0.407,0.091
0.104,0.431,0.105
0.099,0.438,0.108
0.089,0.427,0.103
0.071,0.401,0.096
0.048,0.363,0.094
0.028,0.316,0.097
0.017,0.261,0.099
0.018,0.202,0.093
0.028,0.142,0.078
0.039,0.083,0.063
0.047,0.026,0.051
0.050,-0.032,0.044
0.048,-0.098,0.036
0.042,-0.172,0.022
0.032,-0.251,0.004
0.021,-0.324,-0.012
0.014,-0.380,-0.021
0.012,-0.414,-0.024
0.018,-0.430,-0.027
0.027,-0.429,-0.031
0.031,-0.418,-0.032
0.028,-0.401,-0.030
0.020,-0.382,-0.023
0.012,-0.364,-0.015
0.011,-0.342,-0.008
0.015,-0.314,-0.004
0.022,-0.281,-0.002
0.027,-0.247,-0.001
0.021,-0.215,0.003
0.005,-0.187,0.009
-0.018,-0.163,0.018
-0.037,-0.141,0.029
-0.050,-0.119,0.042
-0.062,-0.093,0.055
-0.079,-0.062,0.061
-0.105,-0.023,0.057
-0.138,0.020,0.046
-0.171,0.063,0.031
-0.196,0.098,0.016
-0.203,0.117,-0.002
-0.188,0.121,-0.026
-0.158,0.111,-0.053
-0.125,0.091,-0.074
-0.096,0.067,-0.085
-0.078,0.048,-0.083
-0.067,0.041,-0.073
-0.064,0.049,-0.060
-0.065,0.073,-0.050
-0.064,0.108,-0.046
-0.057,0.147,-0.048
-0.044,0.180,-0.052
-0.026,0.198,-0.055
-0.007,0.199,-0.053
0.015,0.188,-0.047
0.040,0.166,-0.039
0.069,0.137,-0.034
0.100,0.104,-0.036
0.126,0.073,-0.044
0.139,0.048,-0.053
0.139,0.031,-0.057
0.135,0.019,-0.051
0.134,0.008,-0.036
0.142,-0.002,-0.015
0.154,-0.007,0.009
0.166,-0.003,0.033
0.175,0.005,0.054
0.180,0.010,0.068
0.185,0.003,0.071
0.190,-0.020,0.060
0.198,-0.057,0.040
0.204,-0.099,0.017
0.203,-0.133,-0.002
0.192,-0.150,-0.010
0.171,-0.149,-0.003
0.146,-0.132,0.018
0.124,-0.108,0.046
0.109,-0.081,0.065
